한글,영어,일어
음향학,acoustics, 音響學
음향전기증폭,acoustoelectric amplification, 音響電氣增幅
소리전기전류,acoustoelectric current, 音響電氣電流
소리전기효과,acoustoelectric effect, 音響電氣 ?果
소리기전력,acousto-electromotive force, 音響起電力
소리자기전기효과,acoustomagneto-electric effect, 昔響磁氣電氣 ?果
소리빛 장치,acoustooptic devices, 音響光學素子
"소리 빛 효과, 음향광학효과",acousto-optic effect, 音響光學 ?果
악티늄족<<원소>>,actinide,
악티늄족,actinides, アクチナイド
악티늄 계열,actinium series, アクチニウム系列
악타노이드 원소,actinoid elements, アクチノイド元素
광량측정법,actinometry, 光量測定
"작용, 작용량",action, 作 用
"먼거리작용, 원격작용",action at a distance, 遠隔作用
작용적분,action integral, 作用量積分
활동 퍼텐셜,action potential, 活動電位
작용공,action sphere,
매질을 통한 작용,action through medium, 近接作用
작용변수,action variable, 作用變數
작용-각 자리표,action-angle coordinate,
"맞작용, 작용-반작용",action-reaction,
활성 복합체,activated complex, 活性錯合體
활성화,activation, (1)活性化 (2)放射化
활성화분석,activation analysis, 放射化分析
활성화 자름넓이,activation cross-section, 放射化斷面債
활성화 검출기,activation detector, 放射化檢出器
활성화 에너지,activation energy, 活性化エネルギ?
활성화 부피,activation volume, 活性化體積
활성제,activator,活性化?
활성 중심,active center, 活性中心
능동전기흐름길,active electric circuit, 能動回路
능동원소,active element, 能動素子
능동거르개,active filter, 能動フィルタ?
활성매질,active medium, 能動媒質
활성전력,active power, 有?電力
능동 수송,active transport, 能動輸送
"활동도, 활성도",activity, (1)活動度(活量) (2)活性
"활동도 곁수, 활성도 곁수",activity coefficient, 活動度係數(活量計數)
실제변형력,actual stress, 眞應力
예각,acute angle,
급성효과,acute effect, 急性效?果 / 卽發性效?果
급성 쬐임,acute irradiation, 急性照射
아다일의 분석,Adair's analysis, アデヤ-の解析法
적응,adaptation, 順應【目の】
눈의 명암적응,adaptation of eye,目の順?
"연결관, 앗개",adapter,アダプタ?
"순응, 적응",adaption,
적응제어,adaptive control, 適應制御
흡착원자,adatom, 吸着原子
아날로그-디지털 변환기,ADC,
"힘의 합성, 힘의 합침",addition of force,
더하기 중합,addition polymerization, 付加重合
"가법정리, 덧셈정리",addition theorem,
첨가제,additive, 添加劑
첨가혼색,additive color mixture, 加法混色
"가법공식, 덧셈공식",additive formula,
더하기과정,additive process, 加法過程
더하기,additivity, 加法性
더하기 원리,additivity principle,
"부착, 붙음, 접착",adhesion, (1)付 着 (2)接 着
붙음장력,adhesion tension, 濕潤張力
"부착력, 접착력, 붙을힘",adhesive force,
접착제,adhesives, 接着劑
"단열(의), 열끊음",adiabatic, 斷熱
"단열어림법, 열끊음어림법",adiabatic approximation, 斷熱近似
"단열변화, 열끊음변화",adiabatic change, 斷熱變化
열끊음 압축률,adiabatic compressibility, 斷熱壓縮率
"단열압축, 열끊음압축",adiabatic compression, 斷熱壓縮
"단열곡선, 열끊음곡선",adiabatic curve, 斷熱線
"단열자기소거, 열끊음자기지움",adiabatic demagnetization, 斷熱消磁
"단열불음, 열끊음불음",adiabatic expansion, 斷熱膨張
"단열가설, 열끊음가설",adiabatic hypothesis, 斷熱假說
"단열불변량, 열끊음불변량",adiabatic invariant, 斷熱不變量
열끊음 감소율,adiabatic lapse rate, 斷熱減率
열끊음 자기 감수율,adiabatic magnetic susceptibility, 斷熱磁化率
열끊음핵자기지움,adiabatic nuclear demagnetization, 核斷熱消磁
"단열퍼텐셜, 열끊음퍼텐셜",adiabatic potential, 斷熱ポテンシャル
열끊음퍼텐셜 곡선,adiabatic potential curve, 斷熱ポテンシャル曲線
열끊음퍼텐셜면,adiabatic potential surface, 斷熱ポテンシャル曲面
"단열과정, 열끊음과정",adiabatic process, 斷熱過程
"단열관계, 단열관계식, 열끊음관계, 열끊음관계식",adiabatic relation,
"단열상태, 열끊음상태",adiabatic state,
열끊음 정리,adiabatic theorem, 斷熱定理
"단열선, 열끊음선",adiabats,
수반,adjoint, 隨 伴
수반행렬,adjoint matrix,?伴行列
"수반연산자, 수반작용소",adjoint operator, 隨伴演算子
아들러 비정상성,Adler anomaly, アドラ?の異常
애드미턴스,admittance, アドミタンス
애드미턴스행렬,admittance matrix, アドミタンス行列
흡착용매,adsorbent, 吸着煤
흡착,adsorption, 吸 着
흡착 비김,adsorption equilibrium, 吸着平衡
흡착등온선,adsorption isotherm, 吸着等溫線
흡착구조,adsorption structure, 吸着構造
흡착시간,adsorption time, 吸着時間
근일점이동,advance of perihelion, 近日点移動
고급 그린 함수,advanced Green function, 先進グリ?ン關數
"이류, 수평기류",advection, 移 流
이올리언 음,aeolian tone, ヱオルス音
공기역학,aerodynamics, (1)空氣力學 (2)航空力學
"날개꼴, 익형",aerofoil, 翼
고층대기물리학,aeronomy, 超高層大氣物理學
가청 진동수,AF,
"아파인연결, 이웃연결",affine connection,
친화도,affinity, 親和力
나중응축,after shrinkage, 後收縮
뒤효과,after-effect,余?
뒤 효과 함수,after-effect function, 余?關數
"잔광, 남은빛",afterglow, 殘 光
AG집속<<교류 물매집속>>,AG focus,
에이지 싱크로트론<<교류물매 싱크로트론>>,AG synchrotron,
우주선쬐임나이,age of cosmic ray irradiation, 宇宙線照射年代
우주의 나이,age of the universe, 宇宙の年齡
노안,aged eye,
"뭉치, 뭉침, 응집, 응집체",aggregation, 凝 集
"노화, 숙성, 익음",aging, (1)時 (2)熟 成 (3)老 化
아로노프-보옴 효과,Aharonov-Bohm effect, アハラノフ·ボ?ム ?果
아로노프-캐셔 효과,Aharonov-Casher effect,
아렌스 프리즘,Ahrens prism, ア?レンスプリズム
A15 구조,AI5 structure,
겨냥오차,aiming error,
공기,air,空?
공기중탕,air bath,
공기중 소리,air borne sound, 空氣傳搬音
공기축전기,air capacitor, 空氣コンデンサ?
공기전지,air cell, 空氣電池
공기기둥,air column,
"공기기둥 공명장치, 공기기둥 껴울림장치",air column resonance apparatus,
공기압축기,air compressor,
공기 액화장치,air liquefying apparatus,
공기 모니터,air monitor, 空氣モニタ?
공기펌프,air pump,空?ポンプ
공기저항,air resistance,
공기샤워,air shower,
공기부상대,air table,
기온,air temperature, 氣 溫
공기부상궤도,air track,
"공기기둥, 기주",air-column, 氣 柱
"날개골, 익형",airfoil, 翼
대기광,airglow, 大氣光
에어리원판,Airy disk, エアリ?ディスク
에어리 공식,Airy formula, エアリ一の式
에어리 함수,Airy functions, エアリ一關數
에어리 무늬,Airy pattern, エアリ-像
아키저 손실,Akhieser loss, アキ?ザ-損失
반사율,albedo, アルベド
연금술사,alchemist,
연금술,alchemy,
알코올램프,alcohol lamp,アルコ?ルランプ
알코올온도계,alcohol thermometer, アルコ?ル溫度計
애들러 전이,Alder transition, アルダ-轉移
알펜 수,Alfven number, アルベ?ン數
알펜 속도,Alfven velocity,アルベ?ン速度
알펜 파동,Alfven wave,アルベ?ン波
대수군,algebraic group, 代數群
알골형 변광성,Algol variable, アルゴル型變光星
정렬,alignment, (1)整 列 (2)心合せ(軸合せ)
알칼리,alkali,アルカリ
알칼리 원자,alkali atom,アルカリ原子
알칼리 금속원소,alkali metal, アルカリ金屬元素
알칼리 금속,alkali metals,アルカリ金?
동소체,allotrope, 同素體
허용전류,allowable current,
허용세기,allowable strength,
허용변형력,allowable stress, 許容應力
허용치,allowance, 許容差
"허용된 궤도, 허용된 자리길",allowed orbit,
허용된 전이,allowed transition, 計容遷移
허용된 떨기,allowed vibration, 固有偏光
합금,alloy, 合 金
합금 확산 트랜지스터,alloy-diffused transistor, 合金擴散トランジスタ?
합금 접합 다이오드,alloy-junction diode, 合金接合ダイオ?ド
합금 접합 트랜지스터,alloy-junction transistor, 合金接合トランジスタ?
역서,almanac,
"알파 내쏘개, 알파 방출체",alpha emitter,
"알파 알갱이, 알파 입자",alpha particle,α粒子
"알파 입자모형, 알파알갱이 모형",alpha particle model,
알파선,alpha ray,α線
알파붕괴 에너지,alpha-disintegration energy,
"알파 내쏘기, 알파 방출",alpha-emission,
알파트론진공계,alphatron vacuum gauge, アルファトロンゲ?ジ
교류증폭기,alternating current amplifier, 交流增幅器
교류기전력,alternating electromotive force, 交流起電力
"에이지 싱크로트론, 교류물매 싱크로트론",alternating gradient synchrotron,
교류다리,alternating-current bridge, 支流ブリッジ
교류 죠셉슨 효과,alternating-current Josephson effect, 支流ジョセフソン效?果
교류전력,alternating-current power, 交流電力
고도계,altimeter,高度計
"고도, 포고",altitude,高度
너비변조,AM,
아말감,amalgam,アマルガム
양쪽극 퍼짐,ambipolar diffusion, 兩極性擴散
아미드,amide,
어미자,amin scale,
아미노화,amination,
아미노산,amino acid,
전류계,ammeter, 電流計
아민 착이온,ammine complex ion,
암모니아 메이저,ammonia maser, アンモニアメ?ザ?
"무정형, 비결정성, 비정질",amorphous, アモルファス (非晶質)
비결정성 센자성 물질,amorphous ferromagnetic material, アモルファス强磁性體
비정질 금속,amorphous metal, 非晶質金屬 (アモルファス金屬)
비결정성 반도체,amorphous semiconductor, 非晶質半導體(アモルファス半導體)
비결정성 고체,amorphous solid, 非晶質固?
"무정형체, 비결정성 물질",amorphous substance,
새는 양,amount of leak, リ?ク量
물질의 양,amount of substance, 物質量
암페어 저울,ampere balance, 電流てんびん
미터당 암페어,ampere per meter, アンペア每メ?トル【磁場の强さの單位】
암페어 회수,ampere turn,
암페어-시,ampere-hour,アンペア時間
앙페르의 정리,Ampere's theorem,アンペ?ルの定理
양극성 화합물,amphipathic compound,
양극성 분자,amphipathic molecule,
양쪽성,amphoteric,?性
양쪽성 전해질,amphoteric electrolyte, 兩性電解質
앰플리다인,amplidyne, アンプリダイン
증폭,amplification, 增 幅
증폭률,amplification factor, 增幅率
증폭기,amplifier, 增幅器
증폭작용,amplifying action,?幅作用
"증폭회로, 증폭흐름길",amplifying circuit,?幅回路
"떨기너비, 방위각의 여각, 진폭, 편각",amplitude, 振 幅
떨기너비분석,amplitude analysis, 振幅解析
떨기너비 에돌이발,amplitude grating, 振幅格子
떨기너비 홀로그램,amplitude hologram, 振幅ホログラム
떨기너비방식,amplitude mode, 振幅モ?ド
"너비변조, 진폭변조",amplitude modulation,
떨기너비 되비침율,amplitude reflectance, 振幅反射率
떨기너비 투과율,amplitude transmittance, 振幅透過率
암슬러 면적계,Amsler planimeter,
원자 질량 단위,amu,a.m.u
아날로그 흐름길,analog circuit, アナログ回路
아날로그 전산기,analog computer, アナログ計算機
아날로그 신호,analog signal, アナログ信號
아날로그 여닫이,analog switch, アナログスイッチ
분석능,analysing power, 偏極解析能
"분석, 해석(학)",analysis, (1) 分 折 (2) 解 析
"해석이음, 해석접속",analytic continuation, 解析接續
해석 함수,analytic function, 解析關數
해석적 건드림이론,analytic perturbation theory, 解析的攝動論
"해석 풀이, 해석 해",analytic solution, 解析的解法
해석 벡터,analytic vector, 解析ベクトル
분석용 저울,analytical balance,
해석성,analyticity, 解析性
"가르개, 검광판, 분석기",analyzer, (1) 分折器(アナライザ?) (2)檢光子 / 檢光板
분해자석,analyzer magnet,[運動量]分折[用〕電磁石
분해능,analyzing power, 分析能
비점수차소거렌즈,anastigmat, アナスティグマ?ト
비점수차소거,anastigmatism,
논리곱흐름길,AND circuit, AND回路
앤더슨 해밀토니안,Anderson Hamiltonian, アンダ?ソンハミルトニアン
"앤더슨 한곳되기, 앤더슨 한곳모임",Anderson localization, アンダ?ソン局在
앤더슨 모형,Anderson model, アンダ?ソン模型
앤더슨직교성 정리,Anderson orthogonality theorem, アンダ?ソンの直交定理
앤더슨 전이,Anderson transition, アンダ?ソン轉移
앤더슨-유발 이론,Anderson-Yuval theory, アンダ?ソン·ユ?バルの理論
안드로메다 은하,Andromeda galaxy,アンドロメダ銀河
안드로메다 별구름,Andromeda nebula, アンドロメダ大星雲
메아리없는 방향,anechoic chamber, 電波暗室
무반향실,anechoic room, 無響室
풍속계,anemometer, 風速計
아네로이드 기압계,aneroid barometer, アネロイド氣壓計
각,angle,角
광행차각,angle of aberration,光?差角
"받음각, 영각",angle of attack, 迎え角
편향각,angle of deviation, 偏 角
올림각,angle of elevation, 仰 角
최소 편향각,angle of minimum deviation, 最小偏角
반사각,angle of reflection, 反射角
"굴절각, 꺽임각",angle of refraction, 屈折角
멈춤각,angle of repose,
"산란각, 흩뜨림각",angle of scattering,
옹스트롬<<길이의 단위>>,angstrom, オングストロ?ム【長さの單位】
각가속도,angular acceleration, 角加速度
각상관관계,angular correlation, 角[度]相關
"각갈라짐, 각분산",angular dispersion, 角分散
각변위,angular displacement,角?位
각분포,angular distribution, 角[度]分布
"각떨기수, 각진동수",angular frequency, 角振動數 / 角周波數
각운동량,angular momentum, 角運動量
"각운동량연산자, 각운동량작용소",angular momentum operator, 角運動量演算子
"각운동량 양자수, 부양자수",angular momentum quantum number,
각운동량 넘김,angular momentum transfer, 角運動量移行
"각위치, 각자리",angular position,
각속도,angular velocity, 角速度
반사커브의 각너비,angular width of reflection curve, 反射線幅
"비조화 진동, 안어울림떨기",anharmonic oscillation, 非調和振動
"비조화 떨개, 안어울림떨개",anharmonic oscillator, 非調和振動子
안어울림 항,anharmonic term, 非調和項
비조화성,anharmonicity, 非調和性
음이온 교환,anion exchange,
비등방성(의),anisotropic,異方性(非等方的な)
비등방성 물체,anisotropic body,
비등방성의 바꿈 서로작용,anisotropic exchange interaction, 異方性交換相互作用
비등방성 흐름체,anisotropic fluid, 異方性流體
비등방성 해밀토니안,anisotropic Hamiltonian, 異方性ハミルトニアン
비등방성 액체,anisotropic liquid,異方性液?
비등방 다음이웃 이징모형,anisotropic nearest neighbor ising (ANNI) model,
비등방성 편극,anisotropic polarization,異方性分極
비등방성초유체,anisotropic superfluid, 異萬性超流體
비등방성,anisotropy, 異方性
비등방성 상수,anisotropy constant, 異方性定數
비등방성 에너지,anisotropy energy, 異方性エネルギ?
비등방성 자기 마당,anisotropy magnetic field, 異方性磁場
불린 무질서계,annealed disordered system,
"불림, 설담금",annealing, (1)燒なまし (2)アニ?ル (3)徐 冷
안니모형,ANNI model,
"소멸, 없앰",annihilation,消滅
"소멸연산자, 소멸작용소, 없앰연산자",annihilation operator,
"소멸방사선, 소멸복사, 없앰내비침",annihilation radiation, 消滅放射線
연주광행차,annual aberration,年周光?差
연주시차,annual parallax, 年周視弟
"양극, 플러스극<<전지의>>",anode, 陽 極 / アノ?ド
양극 어둠부분,anode dark space, 陽極暗部
양극 글로,anode glow, 陽極グロ?
양극선,anode ray, 陽極線
양극 분극,anodic polarization,陽極分極
비정상 퍼짐,anomalous diffusion, 異常擴散
비정상 차원,anomalous dimension, 異常次元
비정상분산,anomalous dispersion, 異常分散
비정상 전기비저항,anomalous electric resistivity, 異常電氣抵抗
비정상 g-인자,anomalous g-factor,異常g因子
이상 홀효과,anomalous Hall effect, 異常ホ?ル ?果
비정상 자기모멘트,anomalous magnetic moment, 異常磁氣モ?メント
이상 퍼져나감,anomalous propagation, 異常傳搬【音の】
"비정상 산란, 비정상 흩뜨림",anomalous scattering,異常散?
"비정상 껍질효과, 비정상 표피효과",anomalous skin effect, 異常表皮 ?果
비정상 견줌열,anomalous specific heat, 異常比熱
비정상 문턱(치),anomalous threshold, 異常しきい値
이상 투과,anomalous transmission, 異常透過
비정상 제만효과,anomalous Zeeman effect, 異常ゼ?マン ?果
"변칙, 비정상성, 비정상양",anomaly, 異常[性]
안테나,antenna, アンテナ(空中線)
"안테나 회로, 안테나 흐름길",antenna circuit,アンテナ回路
인간원리,anthropic principle,
"반결합 궤도함수, 반대결합 궤도함수",antibonding orbital, 反結合軌道
"대음극, 반대음극",anticathode,
"대음극판, 반대음극판",anticathode plate,
"반시계 방향, 시계반대 방향",anticlockwise,
반시계회전,anti-clockwise rotation, 逆時計回り
반대일치,anticoincidence, アンチコインシデンス
"반대일치회로, 반대일치 흐름길, 반일치회로",anticoincidence circuit, 反同時[計數]回路
"반대일치 계수, 반대일치 수셈",anticoincidence counting, 反同時計數
"엇바꿈성, 반대바꿈성",anticommutability,
"반대바꿈관계, 엇바꿈관계",anticommutation relation, 反交換關係
"엇바꿈이, 반대바꿈이",anticommutator, 反交換子
반강유전 결정,antiferroelectric crystal, 反强誘電體
반강유전성,antiferroelectricity, 反强誘電性
반강자성 마그논,antiferromagnetic magnon,
"반강자성 공명, 반강자성 껴떨기",antiferromagnetic resonance, 反强磁性共鳴
쓸림 방지 물질,anti-friction material, 減摩材
"반에르미트 행렬, 반대에르미트 행렬",antihermitian matrix,
"반에르미트 연산자, 반에르미트 작용소, 반대에르미트 연산자",antihermitian operator,
반대선형,anti-linear, 反線形
반물질,antimatter, 反物質
"반형태, 반대형태",antimorph,
반중성미자,antineutrino, 反ニュ?トリノ
반중성자,antineutron, 反中性子
배고리<<파동의>>,antinode loop,
반대핵자,antinucleon, 反核子
산화방지제,antioxidant, 酸化防止劑
"반평행, 반대평행",antiparallel,
"반대알갱이, 반대입자",antiparticle, 反粒子
반대위상경계,antiphase boundary, 反位相境界 / 逆位相境界
반대위상구역,antiphase domain, 逆位相領域 / 反位相領域
반양성자,antiproton, 反陽子
반대쿼크,antiquark,
반사방지 코팅,antireflection coating, 反射防止膜
반사방지막,antireflection film,
반대껴떨기,antiresonance, 反共振
반대가리기,antiscreening,
"반대공간, 반대우주",antispace,
반대스토크스선,anti-Stokes line, 反スト?クス線
반대대칭(의),antisymmetric, 反對稱
반대대칭의 바꿈 서로작용,antisymmetric exchange interaction, 反?稱交換相互作用
반대대칭 회전준위,antisymmetric rotational level, 反對稱回轉準位
반대대칭 공간,antisymmetric space, 反對稱空間
반대대칭계,antisymmetric system,
반대대칭화,antisymmetrization,反??化
반대대칭,antisymmetry, 反對稱
반대유니타리연산자,anti-unitary operator, 反ユニタリ?演算子
반대우주,antiuniverse,反?宇宙
방진 설비,anti-vibration equipment, 防振裝置
반대세계,antiworld,反?世界
안토노프 법칙,Antonoff rule, アント?ノフの規則
모루,anvil, (1)アンビル【臺座】(2)金 敷
비주기적,aperiodic,反周期的
비주기적 계,aperiodic system, 非周期系
비주기적 파동,aperiodic wave,反周期的波
"구경, 구멍",aperture, 口 徑
"구경비, 구멍크기비",aperture ratio, 口徑比
구경 조리개,aperture stop,開口絞り
구경합성,aperture synthesis, 開口合成
"먼해점, 원일점",aphelion, 遠日點
"구면수차 지움, 아플라낫",aplanat, アブラナ?ト
"구면수차 지움렌즈, 아플라낫 렌즈",aplanatic objective,無?差レンズ
구면수차 지움점,aplanatic point,無?差点
색지움렌즈,apochromatic lens,アポクロマ?トレンズ
무족화,apodization, アボディゼ?ション
겉보기 깊이,apparent depth,見掛けの深さ
겉보기 전하,apparent electric charge,見掛けの電荷
"겉보기 불음, 겉보기 팽창",apparent expansion, 見掛けの膨張
겉보기 힘,apparent force, 見掛けの力
겉보기 등급,apparent magnitude, 見掛けの等級
"겉보기 전력, 피상전력",apparent power, 皮相電力
출현 퍼텐셜,appearance potential, 出現電壓
응용역학,applied mechanics, 應用力學
응용물리(학),applied physics, 應用物理學
어림셈,approximate calculation,
"어림 표현, 어림식",approximate expression,近似表現
어림수,approximate number,近似?
어림 풀이 어림 해,approximate solution, 近似解
어림값,approximate value,近似値
"어림, 어림셈",approximation,近似
"어림법, 어림방법",approximation method,
함수의 어림법,approximation of functions, 關數近似
왕수,aqua regia, 王 水
수용액,aqueous solution, 水溶液
수용액 방법,aqueous solution method, 水溶液法
"아크, 호",arc, ア?ク
아크 특성,arc characteristics, ア?ク特性
아크방전,arc discharge, ア?ク放電
아크 로,arc furnace, ア?ク爐
아크등,arc lamp, ア?ク燈
아르키메데스의 원리,Archimedes' principle, アルキメデスの原理
아르<<넓이의 단위>>,are, ア?ル【面積の單位】
"넓이, 면적, 영역",area,
"넓이속도, 면적속도",areal velocity, 面積速度
액체비중계,areometer,
아르곤기체방전세척,argon gas discharge cleaning, アルゴン放電洗淨法
아르곤 불안정성,argon instability, アルゴン不安定性
"기움각<<복소수의>>, 인수, 편각<<복소수의>>",argument,
산술,arithmetic, 算術
산술흐름길,arithmetic circuit, 演算回路
산술평균,arithmetic mean, 相加平均
팔,arm, (1) 【ブリッジの】(2)腕【てんびんの】
모멘트의 팔,arm of moment,
"전기자, 전동자",armature, 電機子
배열,array,
아레니우스방정식,Arrhenius' equation, アレニウスの式
비소형 구조,arsenic structure, ヒ素型構造
"소리 마디 내기, 분절",articulation, 明りょう度
인공붕괴,artificial disintegration,人工崩?
인공핵붕괴,artificial nuclear disintegration,人工核崩?
인공 방사성원소,artificial radio active element,人工放射性元素
인공방사성동위원소,artificial radioactive isotope, 人工放射線同位體
인공방사능,artificial radioactivity, 人工放射能
인공 방사성 동위원소,artificial radioisotope,
인공방사선핵종,artificial radionuclide, 人工放射性核種
인공위성,artificial satellite, 人工衛星
인공 초살창,artificial superlattice, 人工超格子
